Series id,Year,Period,Value,MoYr
LNS14000000,1991,Sep,6.9,1991-09-01
LNS14000000,1991,Oct,7.0,1991-10-01
LNS14000000,1991,Nov,7.0,1991-11-01
LNS14000000,1991,Dec,7.3,1991-12-01
LNS14000000,1992,Jan,7.3,1992-01-01
LNS14000000,1992,Feb,7.4,1992-02-01
LNS14000000,1992,Mar,7.4,1992-03-01
LNS14000000,1992,Apr,7.4,1992-04-01
LNS14000000,1992,May,7.6,1992-05-01
LNS14000000,1992,Jun,7.8,1992-06-01
LNS14000000,1992,Jul,7.7,1992-07-01
LNS14000000,1992,Aug,7.6,1992-08-01
LNS14000000,1992,Sep,7.6,1992-09-01
LNS14000000,1992,Oct,7.3,1992-10-01
LNS14000000,1992,Nov,7.4,1992-11-01
LNS14000000,1992,Dec,7.4,1992-12-01
LNS14000000,1993,Jan,7.3,1993-01-01
LNS14000000,1993,Feb,7.1,1993-02-01
LNS14000000,1993,Mar,7.0,1993-03-01
LNS14000000,1993,Apr,7.1,1993-04-01
LNS14000000,1993,May,7.1,1993-05-01
LNS14000000,1993,Jun,7.0,1993-06-01
LNS14000000,1993,Jul,6.9,1993-07-01
LNS14000000,1993,Aug,6.8,1993-08-01
LNS14000000,1993,Sep,6.7,1993-09-01
LNS14000000,1993,Oct,6.8,1993-10-01
LNS14000000,1993,Nov,6.6,1993-11-01
LNS14000000,1993,Dec,6.5,1993-12-01
LNS14000000,1994,Jan,6.6,1994-01-01
LNS14000000,1994,Feb,6.6,1994-02-01
LNS14000000,1994,Mar,6.5,1994-03-01
LNS14000000,1994,Apr,6.4,1994-04-01
LNS14000000,1994,May,6.1,1994-05-01
LNS14000000,1994,Jun,6.1,1994-06-01
